,Pro Name,Team,Server,AccName,CurRank
0,4LaN,Machi E-Sports,BR,4LaN,Master [247 LP]
1,4LaN,Machi E-Sports,BR,Rei dos Flinston,Diamond I
2,957,Team World Elite,KR,957,Unranked
3,Able,Royal Never Give Up,KR,hkjniodsfuvrewt,Platinum III
4,Able,Royal Never Give Up,KR,lpwafdw08,Unranked
5,Absolut,Team oNe eSports,BR,4bsolut NGDA,Challenger [465 LP]
6,Achuu,HWA Gaming,EUW,Achuu,Master [184 LP]
7,ADD,MVP,KR,MVP ADD,Challenger [826 LP]
8,ADD,MVP,KR,진주강씨29대손,Unranked
9,Adrian,Echo Fox,NA,Adrian Ma,Unranked
10,Adrian,Echo Fox,NA,FOX Adrian1,Unranked
11,Adrian,Echo Fox,NA,10 24 2017,Platinum II
12,Adrian,Echo Fox,NA,crow5,Diamond IV
13,Aiming,Afreeca Freecs,KR,59030865del,Diamond I
14,Akaadian,OpTic Gaming,KR,RlCK FOX,Unranked
15,Akaadian,OpTic Gaming,NA,swagwarrior408,Diamond III
16,Akaadian,OpTic Gaming,NA,zyzzlover37,Unranked
17,Akaadian,OpTic Gaming,NA,attack dog,Challenger [343 LP]
18,Akaadian,OpTic Gaming,NA,im hydrated bro,Unranked
19,Albis,AHQ e-Sports Club,KR,쓸쓸한 기분에,Unranked
20,Albis,AHQ e-Sports Club,KR,비슷한 걸 해요,Unranked
21,Albis,AHQ e-Sports Club,KR,NoYuiNoBABYMETAL,Diamond III
22,Alex,,KR,자폐아 어린이,Platinum I
23,Alex Ich,,NA,monkaSHAKEE,Diamond III
24,Alex Ich,,NA,x Jimmy Neutron,Unranked
25,Allorim,Echo Fox,NA,Allorim,Challenger [333 LP]
26,Allorim,Echo Fox,NA,Mirolla,Gold I
27,Alphari,Misfits,KR,XxDaku6969,Unranked
28,Alphari,Misfits,EUW,Alphari,Challenger [359 LP]
29,Alphari,Misfits,EUW,greasy clean,Unranked
30,Alphari,Misfits,KR,Captain Alphari,Unranked
31,Alphari,Misfits,EUW,Jean Bison,Unranked
32,Alphari,Misfits,KR,meatheadmuggshot,Platinum II
33,Altec,Echo Fox,NA,AD ME1 SAN,Challenger [423 LP]
34,Altec,Echo Fox,NA,wxxm6,Diamond IV
35,Amazing,,EUW,S04 Amazing,Master [183 LP]
36,Ambition,Gen.G,KR,maengsdog,Diamond I
37,Ambition,Gen.G,KR,C medalist,Unranked
38,Ambition,Gen.G,KR,Gen G Ambition,Diamond I
39,Ambition,Gen.G,NA,hahalo,Unranked
40,Ambition,Gen.G,KR,maengsdog,Diamond I
41,AN,AHQ e-Sports Club,KR,Wo jo lan A,Unranked
42,AnDa,100 Thieves,NA,Minyoung,Unranked
43,AnDa,100 Thieves,NA,mulgokizary,Diamond I
44,AnDa,100 Thieves,NA,Chorong,Unranked
45,AnDa,100 Thieves,NA,Somin,Diamond IV
46,AnDa,100 Thieves,KR,chorongie2,Master [350 LP]
47,Annes,,EUW,Annes,Diamond I
48,Annes,,EUW,Ka ik snak li nu,Unranked
49,AoD,,EUW,OldShrewdRaven,Unranked
50,AoD,,EUW,AøD,Diamond I
51,aphromoo,100 Thieves,NA,aphromoo,Master [128 LP]
52,aphromoo,100 Thieves,NA,Zbuum,Unranked
53,aphromoo,100 Thieves,KR,Jetaun,Diamond II
54,Apollo,Clutch Gaming,NA,Apollo Price,Master [51 LP]
55,Apollo,Clutch Gaming,NA,ApoIIo Price,Unranked
56,Apollo,Clutch Gaming,NA,Flula Borg,Unranked
57,Apollo,Clutch Gaming,NA,Pretty Raheem,Unranked
58,Apollo,Clutch Gaming,NA,Lokeneve,Unranked
59,Archie,GigaByte Marines,KR,12 08 2018,Platinum V
60,Arcsecond,,NA,Arcminute,Platinum I
61,Arcsecond,,NA,Second of Arc,Platinum I
62,Arcsecond,,NA,Archour,Diamond V
63,Arcsecond,,NA,Arcsecond,Diamond III
64,Ares,bbq Olivers,KR,킹갓사우루스,Diamond II
65,Armut,HWA Gaming,EUW,Tosuncuk,Diamond I
66,Arrow,OpTic Gaming,KR,DongTak,Master [21 LP]
67,Arrow,OpTic Gaming,NA,Arrowlol,Unranked
68,Arrow,OpTic Gaming,NA,OpTic Arrow,Diamond I
69,Arrow,OpTic Gaming,NA,League Of Arrow,Unranked
70,Arrow,OpTic Gaming,NA,Sheathotthotthot,Unranked
71,Arrow,OpTic Gaming,KR,밤새흐르는봄비,Unranked
72,Asper,Hanwha Life Esports,KR,HLE Asper,Master [245 LP]
73,Attila,Team Vitality,KR,VIT Attila,Diamond II
74,Audi,,KR,Freecss,Unranked
75,Ayel,INTZ e-Sports,BR,self betterment,Challenger [751 LP]
76,Ayel,INTZ e-Sports,BR,exceed apogee,Diamond II
77,b4dd,T Show,BR,Im random,Challenger [401 LP]
78,Balls,,NA,d2pIayer,Diamond IV
79,Balls,,NA,AnDa,Unranked
80,Balls,,NA,1.23123E+11,Unranked
81,Balls,,NA,helIo worId,Unranked
82,Balls,,NA,erenyeger,Unranked
83,Bang,SK Telecom T1,KR,SKT T1 Bang,Challenger [486 LP]
84,Bang,SK Telecom T1,KR,안녕잘가즐거웠어,Unranked
85,Bang,SK Telecom T1,NA,SKTeIecomT1Bang,Unranked
86,Bang,SK Telecom T1,BR,SK TelecomT1Bang,Unranked
87,Baolan,Invictus Gaming,KR,955484,Diamond V
88,baybay,G-Rex,KR,baybaybay,Diamond II
89,Bdd,King-Zone Dragonx,KR,8111597del,Unranked
90,Bdd,King-Zone Dragonx,KR,KZ Bdd,Diamond I
91,Bdd,King-Zone Dragonx,KR,412431234,Unranked
92,Bdd,King-Zone Dragonx,KR,피넛사냥개1,Unranked
93,Bdd,King-Zone Dragonx,KR,WaterDumplings,Challenger [607 LP]
94,Bdd,King-Zone Dragonx,EUW,ddb,Platinum V
95,Ben,Team World Elite,KR,레드콤보주면캐리,Diamond I
96,Ben,Team World Elite,KR,남동현,Challenger [648 LP]
97,Benny,MAD Team,KR,wslaoem03,Diamond II
98,Benny,MAD Team,KR,Breaker Fans,Diamond II
99,BeryL,DAMWON Gaming,KR,DWG BeryL,Challenger [792 LP]
100,Betsy,Giants Gaming,EUW,Giants Betsy,Diamond IV
101,Betsy,Giants Gaming,EUW,3 Amber Rose 4,Unranked
102,Betsy,Giants Gaming,EUW,Betsy Junior,Unranked
103,Betty,Flash Wolves,KR,FVV BETTY,Unranked
104,Betty,Flash Wolves,KR,SkrSkrSkrSkr,Master [149 LP]
105,Betty,Flash Wolves,EUW,TWgaoxuecheng,Platinum III
106,Beyond,MVP,KR,MVP Yondu,Diamond I
107,Beyond,MVP,KR,박학심문,Unranked
108,Big,,NA,Bíg T,Diamond I
109,bigfatlp,,NA,bigfatlp,Diamond I
110,BigKoro,Phong Vũ Buffalo,KR,Unbrokenn,Diamond I
111,Biofrost,Counter Logic Gaming,NA,Biofrost,Challenger [510 LP]
112,Biofrost,Counter Logic Gaming,BR,Meme Mage,Unranked
113,Biofrost,Counter Logic Gaming,NA,Sun Prince,Diamond II
114,Biofrost,Counter Logic Gaming,KR,NA Khadgar,Unranked
115,BioPanther,Dire Wolves,KR,COT BioPanther,Diamond I
116,Bjergsen,Team SoloMid,KR,TSM중단비역슨,Unranked
117,Bjergsen,Team SoloMid,NA,Søren Bjerg,Challenger [484 LP]
118,Bjergsen,Team SoloMid,NA,qldurtms,Diamond I
119,Bjergsen,Team SoloMid,BR,MSI Bjergsen,Unranked
120,Bjergsen,Team SoloMid,NA,QjlahHDSt6,Unranked
121,Bjergsen,Team SoloMid,NA,Varmerop,Unranked
122,Bjergsen,Team SoloMid,KR,레지날드 제자,Unranked
123,Blaber,Cloud9,KR,blaberfish2,Master [165 LP]
124,Blank,SK Telecom T1,KR,SKT T1 BIank,Master [244 LP]
125,Blank,SK Telecom T1,KR,멜리크리스마스,Unranked
126,Blank,SK Telecom T1,KR,갱만가드림,Unranked
127,Blank,SK Telecom T1,NA,Find Teemo,Unranked
128,Blank,SK Telecom T1,BR,flowerflash,Unranked
129,Blank,SK Telecom T1,KR,사이온나무꾼,Challenger [552 LP]
130,Bless,,KR,현웅쀼,Platinum V
131,Bless,,KR,So1o,Challenger [430 LP]
132,Bless,,KR,겨울나라얼음공주,Unranked
133,Blossom,SK Telecom T1,KR,SKT T1 Blossom,Challenger [742 LP]
134,Brandini,Team SoloMid,NA,TheeBrandini,Master [202 LP]
135,Brandini,Team SoloMid,NA,Houdini Brandini,Diamond V
136,Brandini,Team SoloMid,KR,FOX Broomdini,Unranked
137,Breeze,MAD Team,KR,MAD l3reeze,Challenger [537 LP]
138,Broken Blade,Royal Bandits,EUW,Unconscious,Challenger [475 LP]
139,Broken Blade,Royal Bandits,EUW,RBE Broken Blade,Challenger [584 LP]
140,Brook,Hanwha Life Esports,KR,HLE Brook,Master [155 LP]
141,Broxah,Fnatic,EUW,FNC Broxah,Diamond I
142,Broxah,Fnatic,EUW,Maocrs,Diamond V
143,Broxah,Fnatic,KR,FNC Brox,Master [0 LP]
144,brTT,RED Canids,BR,FLA brTT      11,Master [93 LP]
145,brTT,RED Canids,BR,Fica de boa ai,Unranked
146,brTT,RED Canids,BR,Eu como caju,Unranked
147,Brucer,Team oNe eSports,BR,Brucer,Master [319 LP]
148,Brucer,Team oNe eSports,BR,HawaianoéBruto,Diamond II
149,Brucer,Team oNe eSports,BR,Flingons,Unranked
150,Bunny FuFuu,,NA,C9 Bunny FuFuu,Gold I
151,Bunny FuFuu,,NA,LiL Bunny FuFuu,Gold I
152,Bunny FuFuu,,NA,BUNNIE FUFUU,Platinum V
153,Bwipo,Fnatic,EUW,FNC Bwipo,Diamond I
154,Bwipo,Fnatic,KR,I will trade,Master [308 LP]
155,Cabochard,Team Vitality,EUW,Hubert Bonisseur,Platinum III
156,Cabochard,Team Vitality,EUW,Stephan Bodzin,Diamond I
157,Cabochard,Team Vitality,EUW,Cabobeau,Gold I
158,Cabochard,Team Vitality,KR,otwoeur11,Diamond I
159,Candy,G-Rex,KR,OvOzz,Diamond I
160,Candy,G-Rex,KR,QQ123,Master [59 LP]
161,Candy,G-Rex,KR,OvOzz,Diamond I
162,Candy,G-Rex,KR,QQ123,Master [59 LP]
163,Caps,Fnatic,EUW,FNC Caps0,Unranked
164,Caps,Fnatic,EUW,1Charm1Kill,Silver III
165,Caps,Fnatic,EUW,FNC Caps1,Diamond I
166,Caps,Fnatic,KR,Fnc Caps Mid,Master [298 LP]
167,Cepted,Royal Bandits,KR,뭐야 힝,Diamond I
168,Cepted,Royal Bandits,KR,tazhong mei shan,Diamond III
169,Cepted,Royal Bandits,EUW,RBE çöpted,Platinum III
170,Cepted,Royal Bandits,EUW,mid or supernoob,Platinum III
171,Ceros,DetonatioN FocusMe,KR,llllIlllllll,Diamond IV
172,Chaser,,KR,Chaser,Diamond I
173,Chaser,,KR,하HAHO호,Unranked
174,Chaser,,NA,Chasér,Unranked
175,Chawy,Hong Kong Attitude,KR,행운의 변화,Unranked
176,Chawy,Hong Kong Attitude,KR,ywilu,Platinum I
177,Chei,,KR,2년동안의휴식,Diamond V
178,Chei,,KR,최선 선호,Diamond II
179,Chei,,EUW,Troll Ace,Unranked
180,Chippys,,KR,my head,Unranked
181,Chippys,,OCE,rice1,Platinum I
182,Chippys,,EUW,Chippys,Platinum III
183,Chovy,Griffin,KR,댕 체,"Challenger [1,037 LP]"
184,Clearlove,EDward Gaming,KR,러브오빠,Diamond I
185,Clid,JD Gaming,KR,GabrielCRO,Challenger [628 LP]
186,Coco,YouthCrew Esports,EUW,BERK KOCAMAN,Platinum III
187,Cody Sun,100 Thieves,NA,LiI Capri Sun,Platinum I
188,Cody Sun,100 Thieves,NA,Cody Sun,Master [277 LP]
189,Cody Sun,100 Thieves,KR,oqtoht04,Diamond I
190,Comeback,,KR,초심자의남자갑주,Diamond IV
191,Comeback,,KR,케이티 하차니,Platinum V
192,Comeback,,EUW,sdfsaffafasf,Unranked
193,Condi,Team World Elite,KR,MyImaster,Unranked
194,Contractz,Golden Guardians,NA,Contractz,Unranked
195,Contractz,Golden Guardians,NA,ctz,Gold I
196,Contractz,Golden Guardians,EUW,tabbo,Unranked
197,Contractz,Golden Guardians,KR,jajanken,Unranked
198,CoreJJ,Gen.G,KR,1521819del,Unranked
199,CoreJJ,Gen.G,KR,CoreJangJeon,Unranked
200,CoreJJ,Gen.G,NA,CoreJJNA,Unranked
201,CoreJJ,Gen.G,KR,Gen G CoreJJ,Challenger [619 LP]
202,CozQ,,EUW,IIIlllIlIIlllII,Platinum IV
203,Crash,Machi E-Sports,KR,toyz,Challenger [389 LP]
204,Crazy,bbq Olivers,KR,CCrazy,Master [325 LP]
205,Croc,Rampage,KR,zzangjeolmi fan,Diamond I
206,Crow,,KR,기업지,Diamond I
207,Crown,Gen.G,KR,Gen G Crown,Diamond III
208,Crown,Gen.G,KR,삼성갤럭시크라운,Unranked
209,Crown,Gen.G,NA,Ariana Grandee,Unranked
210,Crown,Gen.G,KR,땅만안짚으면되지,Challenger [506 LP]
211,Crown,Gen.G,KR,땅만안짚으면되지,Challenger [506 LP]
212,Crush,Team BattleComics,KR,BtC Crush,Challenger [482 LP]
213,Cupcake,Dire Wolves,EUW,DW Cupcake,Platinum III
214,Cupcake,Dire Wolves,KR,DW Coach1,Diamond IV
215,CuVee,Gen.G,KR,삼성 쿠베,Unranked
216,CuVee,Gen.G,NA,ccabi,Unranked
217,CuVee,Gen.G,KR,Gen G cuvee,Challenger [651 LP]
218,Cuzz,King-Zone Dragonx,KR,9253569del,Unranked
219,Cuzz,King-Zone Dragonx,KR,김박문,Unranked
220,Cuzz,King-Zone Dragonx,KR,KZ Cuzz,Challenger [982 LP]
221,Cuzz,King-Zone Dragonx,KR,AaxZ,Diamond I
222,Cuzz,King-Zone Dragonx,EUW,Beube,Platinum III
223,dade,,KR,닉변한다데,Diamond II
224,Damonte,Echo Fox,NA,Tanner Damonte,Diamond II
225,Damonte,Echo Fox,NA,Damonte,Platinum I
226,Damonte,Echo Fox,NA,Lz Sword,Unranked
227,Danagorn,T Show,BR,Danagorn,Gold I
228,Danagorn,T Show,BR,RonaldinhoGaucho,Platinum IV
229,Dara,Rampage,KR,Sup Dara,Platinum III
230,Dardoch,Echo Fox,KR,very artistic,Unranked
231,Dardoch,Echo Fox,NA,dd king,Platinum IV
232,Dardoch,Echo Fox,NA,tilted dardoch,Unranked
233,Dardoch,Echo Fox,NA,BrnxSpecks,Diamond IV
234,Dardoch,Echo Fox,NA,egirl Dardoch,Unranked
235,Dardoch,Echo Fox,NA,dd god,Diamond V
236,Dardoch,Echo Fox,NA,ghetto oprah,Unranked
237,Dardoch,Echo Fox,NA,clg dd,Unranked
238,Dardoch,Echo Fox,NA,lIlIlIlIlIllII,Platinum II
239,Dardoch,Echo Fox,NA,dd dog,Diamond V
240,Darshan,Counter Logic Gaming,NA,Darshan,Diamond II
241,Darshan,Counter Logic Gaming,NA,dardarbinks,Unranked
242,Darshan,Counter Logic Gaming,NA,Aqualine Skull,Gold I
243,Darshan,Counter Logic Gaming,NA,ATOZSELLOUTBOYS,Unranked
244,Deadly,Giants Gaming,EUW,Yoppa slave 1,Diamond II
245,Deft,KT Rolster,KR,가나라마아바,Diamond I
246,Deft,KT Rolster,KR,KT DEFT,Diamond I
247,Deft,KT Rolster,KR,열심히좀해라,Unranked
248,Deft,KT Rolster,KR,Deft1,Unranked
249,Deft,KT Rolster,NA,TP FROM S5,Unranked
250,Deft,KT Rolster,KR,꾸누뚜루무뿌쑤,Challenger [478 LP]
251,Destiny,,KR,LGDW FIGHTING,Unranked
252,Deul,,KR,크러쉬지코딘,Diamond I
253,Diamondprox,Gambit Esports,EUW,Mighty Holy Cow,Diamond II
254,Diamondprox,Gambit Esports,KR,PeacefulFarmer,Diamond II
255,Djoko,Giants Gaming,EUW,V Djok0,Unranked
256,Djoko,Giants Gaming,EUW,M Djoko,Unranked
257,Doinb,Rogue Warriors,KR,Heart,Diamond II
258,DoRaoN,Team BattleComics,KR,BtC Do LaoN,Master [149 LP]
259,Doublelift,Team Liquid,NA,Doublelift,Diamond I
260,Doublelift,Team Liquid,NA,doubleliftfanboy,Unranked
261,Doublelift,Team Liquid,NA,Peng Yiliang,Platinum III
262,Doublelift,Team Liquid,EUW,american pubstar,Platinum II
263,Doublelift,Team Liquid,KR,NA OMEGALUL,Diamond III
264,Dove,Team BattleComics,KR,BtC Dove,Master [259 LP]
265,Dreams,Team Vitality,KR,dreams came true,Diamond III
266,Dreams,Team Vitality,EUW,V Dreams,Challenger [688 LP]
267,Dreams,Team Vitality,KR,VIT Dreams,Challenger [383 LP]
268,DudsTheBoy,T Show,BR,DUDSZADA MECTREF,Diamond I
269,DudsTheBoy,T Show,BR,mina de amigo,Master [90 LP]
270,DudsTheBoy,T Show,BR,NA KUCKEIRA BIXO,Diamond I
271,Duke,Invictus Gaming,KR,시암뤼,Diamond I
272,Dumbledoge,Royal Bandits,EUW,MeowthThatsRight,Master [41 LP]
273,Dynquedo,KaBuM! e-Sports,EUW,MC PP DA VS,Gold I
274,Dynquedo,KaBuM! e-Sports,KR,zeca urubu,Diamond I
275,Edge,Kongdoo Monster,KR,KDM Edge,Master [2 LP]
276,Edward,Gambit Esports,KR,Marusia1v9,Diamond V
277,Effort,SK Telecom T1,KR,롤오브레전드1234,Challenger [573 LP]
278,Ella,,KR,챌린저등반가,Diamond V
279,Empt2y,G-Rex,KR,IIlIIlIlIlIlIlIl,Diamond I
280,Envy,INTZ e-Sports,BR,assassin player,Challenger [925 LP]
281,Envy,INTZ e-Sports,BR,nikto,Challenger [697 LP]
282,esA,Keyd Stars,BR,esA,Challenger [467 LP]
283,esA,Keyd Stars,BR,gordim gostoso,Unranked
284,esA,Keyd Stars,BR,gordim ice tea,Diamond IV
285,esA,Keyd Stars,BR,Sedex trolla MT,Challenger [386 LP]
286,Evi,DetonatioN FocusMe,KR,TOHOHO,Unranked
287,Evi,DetonatioN FocusMe,KR,DFM Evi,Challenger [561 LP]
288,Exileh,Unicorns Of Love,EUW,Exileh,Diamond II
289,Exileh,Unicorns Of Love,KR,otol3,Unranked
290,Expect,Fnatic,BR,ExDpect,Unranked
291,Expect,Fnatic,EUW,G2 Expect,Unranked
292,fabFabulous,SuperMassive eSports,EUW,ehehehehe,Diamond I
293,fabFabulous,SuperMassive eSports,KR,복 지 리 탕,Diamond III
294,Faker,SK Telecom T1,KR,SKT T1 Faker,Unranked
295,Faker,SK Telecom T1,KR,Hide on bush,Challenger [847 LP]
296,Faker,SK Telecom T1,KR,sliced cheese,Gold I
297,Faker,SK Telecom T1,BR,19960507,Unranked
298,Febiven,Clutch Gaming,EUW,Iamzeprize,Master [23 LP]
299,Febiven,Clutch Gaming,EUW,Wesley Million,Unranked
300,Febiven,Clutch Gaming,EUW,FEB1VENN,Platinum V
301,Ferchu,T Show,BR,Ferchuchu,Master [259 LP]
302,Fireloli,,KR,StiII Waiting,Unranked
303,Fix,Kaos Latin Gamers,EUW,alto lagg,Platinum IV
304,Fix,Kaos Latin Gamers,KR,고치다,Diamond II
305,Flame,FlyQuest,KR,임모탈스 Flame,Platinum V
306,Flame,FlyQuest,NA,flameflameflame,Diamond I
307,Flame,FlyQuest,KR,LGD LaCoStE,Unranked
308,Flame,FlyQuest,KR,임모탈스 Flame,Platinum V
309,Flame,FlyQuest,KR,Flyquest Flame,Unranked
310,Flawless,Rogue Warriors,KR,fulaolisi,Master [291 LP]
311,Fly,Gen.G,KR,검은머리사나이,Master [355 LP]
312,FoFo,J Team,KR,ouoouououou,Master [242 LP]
313,FORG1VEN,Origen,EUW,YaphetS7,Platinum II
314,Froggen,Origen,KR,Froggen lolxD,Unranked
315,Froggen,Origen,KR,애니비아 아빠,Unranked
316,Froggen,Origen,NA,Anivia Kid,Master [250 LP]
317,Froggen,Origen,EUW,Froggen,Diamond III
318,Froggen,Origen,EUW,YouGotFrogged,Diamond IV
319,Frozen,1907 Fenerbahce,KR,터키사람아니에요,Platinum II
320,Frozen,1907 Fenerbahce,EUW,RozenF,Diamond I
321,G4,Ascension Gaming,EUW,Planetar1um,Platinum III
322,G4,Ascension Gaming,KR,need sugar,Diamond I
323,Gaeng,PENTAGRAM,EUW,Gaeng,Platinum V
324,Gate,,KR,Gate NA,Unranked
325,Gate,,NA,230,Platinum IV
326,Gate,,NA,1.23457E+15,Unranked
327,Gate,,NA,chelly,Unranked
328,Gate,,NA,J4o7pnHxqmY,Unranked
329,GBM,SuperMassive eSports,EUW,Furkan god,Diamond V
330,GBM,SuperMassive eSports,KR,IG Rook1e,Diamond III
331,Gemini,Hong Kong Attitude,KR,20180111,Unranked
332,Genthix,Rainbow7,EUW,Dog Yit,Gold I
333,Ggoong,Topsports Gaming,KR,TOP Ggoong,Master [131 LP]
334,Ghost,bbq Olivers,KR,6학년4반장용준,Master [348 LP]
335,Ghost,bbq Olivers,KR,35781080del,Unranked
336,GodKwai,Hong Kong Attitude,KR,d2myhome,Unranked
337,Goku,ProGaming e-Sports,BR,goku chan,Master [309 LP]
338,Goku,ProGaming e-Sports,BR,Beije a chuva,Challenger [467 LP]
339,Goku,ProGaming e-Sports,BR,Hatsune Míku,Diamond I
340,Goldenglue,Cloud9,KR,Goldenglue,Unranked
341,Goldenglue,Cloud9,NA,goldenglue,Challenger [825 LP]
342,Goldenglue,Cloud9,NA,growth mindset,Diamond IV
343,Goldenglue,Cloud9,NA,LQD Matt,Unranked
344,Goldenglue,Cloud9,KR,C9 황금풀,Master [8 LP]
345,GorillA,King-Zone Dragonx,KR,KZ GorillA,Challenger [483 LP]
346,GorillA,King-Zone Dragonx,KR,앙릴모띠,Unranked
347,GorillA,King-Zone Dragonx,NA,MAKTAPPORO,Unranked
348,Grace,Jin Air Green Wings,KR,집중력조절장인,Master [303 LP]
349,Grig,Team SoloMid,NA,Low Tempo JG,Challenger [703 LP]
350,Grig,Team SoloMid,NA,whitelotus2,Unranked
351,Hai,,NA,SimplyHai,Challenger [386 LP]
352,Hai,,NA,BaamSouma,Unranked
353,Hai,,NA,deactivatedc9,Gold I
354,Hakuho,Clutch Gaming,NA,Hakuho,Challenger [422 LP]
355,Hakuho,Clutch Gaming,KR,Give me supp,Unranked
356,Han,Kongdoo Monster,KR,코콰콜라,Master [27 LP]
357,Han,Kongdoo Monster,KR,율천고 최현우,Challenger [452 LP]
358,Hana,J Team,KR,Tia Ray,Master [69 LP]
359,Hanabi,Flash Wolves,EUW,Illya is my wife,Platinum IV
360,Hanabi,Flash Wolves,KR,Shiodome M1una,Master [25 LP]
361,Hans sama,Misfits,EUW,Kyn Sama,Gold I
362,Hans sama,Misfits,EUW,09 02 1999,Platinum I
363,Hans sama,Misfits,EUW,Super sama,Master [148 LP]
364,Hans sama,Misfits,EUW,1245124,Gold I
365,Hans sama,Misfits,EUW,MSF Hans sama5,Unranked
366,Hans sama,Misfits,KR,TrackingTheWeebs,Unranked
367,Hans sama,Misfits,KR,MSF Deku,Platinum II
368,Haro,EDward Gaming,KR,otwoeu01,Diamond I
369,Haru,Gen.G,KR,KunikidaHanamaru,Diamond I
370,Haru,Gen.G,KR,Dear Brave,Unranked
371,Haru,Gen.G,KR,shirushi,Diamond I
372,Hauntzer,Team SoloMid,KR,Wolhaiksong,Unranked
373,Hauntzer,Team SoloMid,NA,ice,Platinum IV
374,Hauntzer,Team SoloMid,NA,Kholin,Diamond I
375,Hauntzer,Team SoloMid,NA,TenThousand,Platinum I
376,Hauntzer,Team SoloMid,BR,DaJiaHao,Unranked
377,Hauntzer,Team SoloMid,NA,Hauntzer,Unranked
378,Hauntzer,Team SoloMid,NA,Domawashi,Unranked
379,Hauntzer,Team SoloMid,KR,TSM 하운쳐,Unranked
380,Hauntzer,Team SoloMid,KR,물에 젖어 라,Unranked
381,HeaQ,Team ROCCAT,EUW,ROCCAT HEAQ,Master [0 LP]
382,Helper,,KR,노니노니노,Platinum V
383,Helper,,KR,도데채 외않돼죠,Unranked
384,Helper,,KR,챌린져 등반가,Diamond I
385,Hjärnan,G2 Esports,EUW,ööööööööööh,Platinum I
386,Hjärnan,G2 Esports,EUW,Hjärnanbakomallt,Unranked
387,Hjärnan,G2 Esports,EUW,New folder kebab,Diamond I
388,Hjärnan,G2 Esports,KR,G2 야난,Diamond III
389,Hoit,DAMWON Gaming,KR,호잇이,Challenger [820 LP]
